نوع البطولة,الفريق الاول,الفريق الثاني,ميعاد المباراة,النتيجة
الدوري المصري,غزل المحلة,زد,21:30,0 - 3
الدوري المصري,فاركو,البنك الاهلي,21:30,2 - 1
الدوري المصري,بيراميدز,المصري,21:30,0 - 0
دوري أبطال أوروبا,ليل,بروسيا دورتموند,19:45,1 - 2
دوري أبطال أوروبا,اتلتيكو مدريد,ريال مدريد,22:00,1 - 0
دوري أبطال أوروبا,أستون فيلا,كلوب بروج,22:00,3 - 0
دوري أبطال أوروبا,أرسنال,إيندهوفن,22:00,2 - 2
دوري القسم الثاني-أ,لافيينا أف سي,أبو قير للاسمدة,21:30,0 - 1
دوري القسم الثاني-أ,أسوان,الداخلية,21:30,2 - 1
دوري القسم الثاني-أ,المقاولون العرب,بترول أسيوط,21:30,1 - 0
دوري القسم الثاني-أ,بروكسي,بلدية المحلة,21:30,1 - 1
دوري القسم الثاني-أ,وادي دجلة,كهرباء الإسماعيلية,21:30,0 - 0
دوري أبطال آسيا للنخبة,نادي غوانغجو,فيسيل كوبه,12:00,3 - 0
دوري أبطال آسيا للنخبة,كاواساكي فورنتال,شانغهاي شينهوا,12:00,4 - 0
الدوري التونسي,فابيس,النجم الساحلى,15:00,0 - 2
الدوري التونسي,الصفاقســــي,سليمان الرياضي,15:00,4 - 0
الدوري التونسي,إتحاد بن قردان,البنزرتي,15:00,1 - 0
الدوري التونسي,شبيبة العمران,الترجى الرياضي,15:00,2 - 2
